R,sphere,ball
0.25,0.9956543476,0.9965544928
0.5,0.9838488612,0.9906184698
0.75,0.9609448895,0.9818531481
1,0.9319524307,0.9568816698
1.25,0.9081266596,0.9427753304
1.5,0.8843936421,0.8937747365
1.75,0.8473989381,0.8532624812
2,0.741216485,0.9120213784
2.25,0.693108393,0.8625037837
2.5,0.7390996178,0.7768786225
2.75,0.6566497885,0.7014613652
3,0.5784736496,0.7107456199
3.25,0.6459524682,0.7946522698
3.5,0.5906647577,0.6809037761
3.75,0.5110559534,0.652201495
4,0.5000710139,0.699617922
4.25,0.5000396131,0.6413467734
4.5,0.500082244,0.6415956341
4.75,0.5000405932,0.6701875857
5,0.5247217108,0.7686413525
5.25,0.6128323067,0.6722623755
5.5,0.5457020828,0.6937025671
5.75,0.5163924769,0.670991929
6,0.5760295894,0.6569285291
6.25,0.5630301631,0.7176917835
6.5,0.5737569609,0.6586326135
6.75,0.5998642315,0.7109474643
7,0.6003340447,0.6493282004
7.25,0.5885402008,0.645448041
7.5,0.5706359815,0.642407633
7.75,0.6552675707,0.6523484214
8,0.6027106455,0.6574059206
8.25,0.627830713,0.6831689984
8.5,0.5973180204,0.6546509824
8.75,0.6029529311,0.7171632107
9,0.6162457634,0.6518999494
9.25,0.6309145625,0.6404934342
9.5,0.6305788003,0.6609850061
9.75,0.6282935332,0.6995112959
10,0.6311523133,0.7394674186